,Coordinates,Cuisine,Latitude,Longitude,Restaurant_Name
80,"('39.1085190000', '-94.5825640000')","African, Ethiopian",39.1085190000,-94.5825640000,Blue Nile Cafe
81,"('39.0574170000', '-94.6062880000')","Japanese, Sushi",39.0574170000,-94.6062880000,Friends Sushi & Bento Place
82,"('39.0876850000', '-94.5885720000')",Vegetarian,39.0876850000,-94.5885720000,Cafe Gratitude
83,"('39.0760200000', '-94.6026600000')","Mexican, Vegetarian",39.0760200000,-94.6026600000,Ponak's Mexican Kitchen
84,"('39.0530730000', '-94.5906310000')","American, Breakfast, French",39.0530730000,-94.5906310000,Westport Cafe & Bar
85,"('39.0534801000', '-94.5926026000')","BBQ, Southern, Bar Food",39.0534801000,-94.5926026000,Char Bar
86,"('39.2472140000', '-94.6628400000')",Mexican,39.2472140000,-94.6628400000,Ixtapa Mexican Cuisine
87,"('39.0569450000', '-94.6036240000')","Middle Eastern, Vegetarian",39.0569450000,-94.6036240000,Aladdin Café
88,"('39.0973970000', '-94.5831320000')","Asian, Japanese, Sushi",39.0973970000,-94.5831320000,Drunken Fish Power & Light District
89,"('39.1616800000', '-94.5767300000')","Desserts, Italian, Seafood",39.1616800000,-94.5767300000,Cascone's Italian
90,"('39.0405600000', '-94.5920500000')","American, French",39.0405600000,-94.5920500000,The Melting Pot of Kansas City
91,"('38.9400200000', '-94.6091900000')",BBQ,38.9400200000,-94.6091900000,Gates Bar-B-Q
92,"('39.1686900000', '-94.5979000000')","Latin American, Southern, Steak",39.1686900000,-94.5979000000,Piropos
93,"('39.0916770000', '-94.5848920000')",Pizza,39.0916770000,-94.5848920000,Pizza Bella
94,"('39.0420020000', '-94.5855810000')","Breakfast, Burger",39.0420020000,-94.5855810000,Winstead's
95,"('38.9233590000', '-94.4019150000')","Japanese, Sushi",38.9233590000,-94.4019150000,Siki Japanese Steak House & Sushi Bar‎
96,"('38.9924620000', '-94.5940360000')","Japanese, Korean, Sushi",38.9924620000,-94.5940360000,Kokoro Maki House
97,"('39.0404890000', '-94.5938060000')","American, Steak",39.0404890000,-94.5938060000,Plaza III Steakhouse
98,"('39.0507740000', '-94.5967960000')","American, European",39.0507740000,-94.5967960000,PotPie
99,"('39.0997770000', '-94.5828240000')","Greek, Mediterranean, Vegetarian",39.0997770000,-94.5828240000,Zaina
